beer_style,beer_name,brewery_name,abv,no_ratings,avg_rating,drop_me,url
Fruit and Field,#9,Magic Hat Brewing Company,5.10,"5,915",3.42,,https://www.beeradvocate.com/beer/profile/96/299/
Fruit and Field,Samuel Adams Cherry Wheat,Boston Beer Company (Samuel Adams),5.30,"4,029",3.19,,https://www.beeradvocate.com/beer/profile/35/108/
Fruit and Field,Raspberry Tart,New Glarus Brewing Company,4.00,"3,992",4.41,,https://www.beeradvocate.com/beer/profile/590/1585/
Fruit and Field,Summer Shandy,Jacob Leinenkugel Brewing Company,4.20,"3,841",3.2,,https://www.beeradvocate.com/beer/profile/710/36010/
Fruit and Field,Rübæus,Founders Brewing Company,5.70,"3,799",3.91,,https://www.beeradvocate.com/beer/profile/1199/23474/
Fruit and Field,Wisconsin Belgian Red,New Glarus Brewing Company,4.00,"3,779",4.42,,https://www.beeradvocate.com/beer/profile/590/1577/
Fruit and Field,Purple Haze,Abita Brewing Co.,4.20,"3,527",3.32,,https://www.beeradvocate.com/beer/profile/3/7/
Fruit and Field,Banana Bread Beer,Eagle Brewery,5.20,"3,235",3.56,,https://www.beeradvocate.com/beer/profile/664/5488/
Fruit and Field,Serendipity,New Glarus Brewing Company,4.00,"2,993",4.38,,https://www.beeradvocate.com/beer/profile/590/86172/
Fruit and Field,Hell Or High Watermelon Wheat Beer,21st Amendment Brewery,4.90,"2,948",3.4,,https://www.beeradvocate.com/beer/profile/735/4202/
Fruit and Field,Blushing Monk,Founders Brewing Company,9.20,"2,563",4.21,,https://www.beeradvocate.com/beer/profile/1199/25852/
Fruit and Field,Éphémère (Apple),Unibroue,5.50,"2,155",3.64,,https://www.beeradvocate.com/beer/profile/22/3523/
Fruit and Field,Autumn Maple,The Bruery,10.00,"2,098",3.81,,https://www.beeradvocate.com/beer/profile/16866/44932/
Fruit and Field,Samuel Adams Porch Rocker,Boston Beer Company (Samuel Adams),4.50,"1,741",3.34,,https://www.beeradvocate.com/beer/profile/35/81388/
Fruit and Field,Thumbprint Apple Ale,New Glarus Brewing Company,4.00,"1,669",4.15,,https://www.beeradvocate.com/beer/profile/590/20014/
Fruit and Field,Black & Blue,Dogfish Head Craft Brewery,10.00,"1,633",3.71,,https://www.beeradvocate.com/beer/profile/64/32437/
Fruit and Field,Strawberry Rhubarb,New Glarus Brewing Company,4.00,"1,585",4.35,,https://www.beeradvocate.com/beer/profile/590/96831/
Fruit and Field,Mango Magnifico,Founders Brewing Company,10.00,"1,561",3.66,,https://www.beeradvocate.com/beer/profile/1199/96814/
Fruit and Field,Cerise,Founders Brewing Company,6.50,"1,518",3.65,,https://www.beeradvocate.com/beer/profile/1199/48911/
Fruit and Field,Strawberry Lager,Abita Brewing Co.,4.20,"1,414",3.5,,https://www.beeradvocate.com/beer/profile/3/23505/
Fruit and Field,Samuel Adams Cranberry Lambic,Boston Beer Company (Samuel Adams),5.90,"1,389",2.68,,https://www.beeradvocate.com/beer/profile/35/1903/
Fruit and Field,Shiner Ruby Redbird,Spoetzl Brewery,4.01,"1,364",3.22,,https://www.beeradvocate.com/beer/profile/143/67274/
Fruit and Field,Tweason'ale,Dogfish Head Craft Brewery,6.00,"1,333",3.13,,https://www.beeradvocate.com/beer/profile/64/70602/
Fruit and Field,Fort,Dogfish Head Craft Brewery,18.00,"1,329",3.79,,https://www.beeradvocate.com/beer/profile/64/21466/
Fruit and Field,Soft Parade,Short's Brewing Company,7.50,"1,249",3.69,,https://www.beeradvocate.com/beer/profile/9629/18021/
Fruit and Field,Blue,SweetWater Brewing Company,4.90,"1,220",3.41,,https://www.beeradvocate.com/beer/profile/273/1971/
Fruit and Field,Kasteel Rouge,Brouwerij Van Honsebrouck N.V.,8.00,"1,134",3.86,,https://www.beeradvocate.com/beer/profile/212/38795/
Fruit and Field,Pyramid Apricot Ale,"Pyramid Breweries, Inc.",5.10,"1,122",3.47,,https://www.beeradvocate.com/beer/profile/403/25649/
Fruit and Field,Redd's Apple Ale,Miller Brewing Co.,5.00,"1,114",2.73,,https://www.beeradvocate.com/beer/profile/105/87280/
Fruit and Field,Wild Blueberry Wheat Ale,Sea Dog Brewing Company,4.70,"1,022",3.47,,https://www.beeradvocate.com/beer/profile/137/345/
Fruit and Field,Stiegl Radler (Grapefruit),Stieglbrauerei zu Salzburg GmbH,2.25,"1,011",3.84,,https://www.beeradvocate.com/beer/profile/817/68049/
Fruit and Field,Tangerine Wheat,Lost Coast Brewery and Cafe,5.50,967,3.46,,https://www.beeradvocate.com/beer/profile/256/31931/
Fruit and Field,Cucumber Saison,Cigar City Brewing,5.00,963,3.73,,https://www.beeradvocate.com/beer/profile/17981/73070/
Fruit and Field,Pumpkinfest,Terrapin Beer Company,6.10,924,3.69,,https://www.beeradvocate.com/beer/profile/2372/53146/
Fruit and Field,Apricot Wheat,Ithaca Beer Company,4.90,883,3.32,,https://www.beeradvocate.com/beer/profile/651/1782/
Fruit and Field,UFO Raspberry Hefeweizen,Harpoon Brewery & Beer Hall,4.80,819,3.61,,https://www.beeradvocate.com/beer/profile/98/28672/
Fruit and Field,Samuel Adams Blueberry Hill Lager,Boston Beer Company (Samuel Adams),5.50,816,3.26,,https://www.beeradvocate.com/beer/profile/35/84501/
Fruit and Field,Shiner Prickly Pear,Spoetzl Brewery,4.90,810,3.39,,https://www.beeradvocate.com/beer/profile/143/82773/
Fruit and Field,Son Of A Peach,RJ Rockers Brewing Company,6.00,796,3.58,,https://www.beeradvocate.com/beer/profile/4408/48165/
Fruit and Field,Shock Top Lemon Shandy,Anheuser-Busch,4.20,787,2.85,,https://www.beeradvocate.com/beer/profile/29/79669/
Fruit and Field,Orange Shandy,Jacob Leinenkugel Brewing Company,4.20,765,3.17,,https://www.beeradvocate.com/beer/profile/710/92216/
Fruit and Field,Bumble Berry Honey Blueberry Ale,Fat Head's Brewery & Saloon,5.30,750,3.73,,https://www.beeradvocate.com/beer/profile/19544/51389/
Fruit and Field,Blackbeary Wheat,Long Trail Brewing Co.,4.00,744,3.14,,https://www.beeradvocate.com/beer/profile/94/3636/
Fruit and Field,Raspberry Ale,Dark Horse Brewing Company,5.50,735,3.39,,https://www.beeradvocate.com/beer/profile/1471/11947/
Fruit and Field,Blueberry Ale,Blue Point Brewing Company,4.60,687,3.52,,https://www.beeradvocate.com/beer/profile/764/18207/
Fruit and Field,Delirium Red,Brouwerij Huyghe,8.00,684,3.68,,https://www.beeradvocate.com/beer/profile/180/68452/
Fruit and Field,Orange Blossom Cream Ale,Buffalo Bill's Brewery,5.20,667,3.05,,https://www.beeradvocate.com/beer/profile/205/14849/
Fruit and Field,Curious Traveler Lemon Shandy,The Traveler Beer Co.,4.40,634,3.41,,https://www.beeradvocate.com/beer/profile/31442/82278/
Fruit and Field,Pugsley's Signature Series: Smashed Blueberry,Shipyard Brewing Company,9.00,608,3.9,,https://www.beeradvocate.com/beer/profile/139/68949/
Fruit and Field,Organic Strawberry,Samuel Smith Old Brewery (Tadcaster),5.10,586,3.87,,https://www.beeradvocate.com/beer/profile/113/47486/
Fruit and Field,first ← prev | 1-50 | 51-100 | 101-150  | next → last,https://www.beeradvocate.com/beer/styles/9/?sort=revsD&start=50,,,,,
Fruit and Field,Key Lime Pie,Short's Brewing Company,5.75,563,3.48,,https://www.beeradvocate.com/beer/profile/9629/56275/
Fruit and Field,Strawberry Short's Cake,Short's Brewing Company,5.00,559,3.69,,https://www.beeradvocate.com/beer/profile/9629/51313/
Fruit and Field,Organic Raspberry,Samuel Smith Old Brewery (Tadcaster),5.10,546,3.89,,https://www.beeradvocate.com/beer/profile/113/47410/
Fruit and Field,Strawberry Wheat Beer,Lancaster Brewing Company,4.70,536,3.21,,https://www.beeradvocate.com/beer/profile/743/7932/
Fruit and Field,Wild Raspberry Ale,Great Divide Brewing Company,5.60,532,3.57,,https://www.beeradvocate.com/beer/profile/158/145/
Fruit and Field,Grapefruit Shandy,Jacob Leinenkugel Brewing Company,4.20,527,3.64,,https://www.beeradvocate.com/beer/profile/710/159431/
Fruit and Field,Morimoto Soba Ale,Rogue Ales,4.80,527,3.55,,https://www.beeradvocate.com/beer/profile/132/38377/
Fruit and Field,Ginger Lemon Radler,Boulevard Brewing Co.,4.10,518,3.7,,https://www.beeradvocate.com/beer/profile/423/120649/
Fruit and Field,Cranberry Ginger Shandy,Jacob Leinenkugel Brewing Company,4.20,514,3.33,,https://www.beeradvocate.com/beer/profile/710/129259/
Fruit and Field,Van Diest Früli Strawberry Beer,Brouwerij Huyghe,4.10,505,3.54,,https://www.beeradvocate.com/beer/profile/180/12738/
Fruit and Field,UFO Big Squeeze Shandy,Harpoon Brewery & Beer Hall,4.50,497,3.44,,https://www.beeradvocate.com/beer/profile/98/116534/
Fruit and Field,Bar Harbor Blueberry Ale,Atlantic Brewing Company / Mainely Meat BBQ,5.20,495,3.49,,https://www.beeradvocate.com/beer/profile/378/2266/
Fruit and Field,Blueberry Ale,Wachusett Brewing Company,4.50,489,3.39,,https://www.beeradvocate.com/beer/profile/20/2190/
Fruit and Field,Wheach,O'Fallon Brewery,5.10,480,3.59,,https://www.beeradvocate.com/beer/profile/3268/24059/
Fruit and Field,St-Ambroise Apricot Wheat Ale,McAuslan Brewing,5.00,478,3.67,,https://www.beeradvocate.com/beer/profile/194/5432/
Fruit and Field,Oculto,Anheuser-Busch,6.00,474,2.7,,https://www.beeradvocate.com/beer/profile/29/152826/
Fruit and Field,Organic Cherry,Samuel Smith Old Brewery (Tadcaster),5.10,472,3.86,,https://www.beeradvocate.com/beer/profile/113/37400/
Fruit and Field,Traveler Grapefruit Shandy,The Traveler Beer Co.,4.40,455,3.5,,https://www.beeradvocate.com/beer/profile/31442/117587/
Fruit and Field,Del's Shandy,Narragansett Brewing Co.,4.70,448,3.42,,https://www.beeradvocate.com/beer/profile/213/120938/
Fruit and Field,Sweet Potato Casserole Strong Ale,Funky Buddha Brewery,7.90,446,3.98,,https://www.beeradvocate.com/beer/profile/31805/85885/
Fruit and Field,Blueberry Cobbler,Funky Buddha Brewery,5.40,443,3.87,,https://www.beeradvocate.com/beer/profile/31805/70441/
Fruit and Field,Bud Light & Clamato Chelada,Anheuser-Busch,4.20,442,1.74,,https://www.beeradvocate.com/beer/profile/29/37424/
Fruit and Field,Organic Apricot Ale,Samuel Smith Old Brewery (Tadcaster),5.10,441,3.93,,https://www.beeradvocate.com/beer/profile/113/79544/
Fruit and Field,Harvest Patch Shandy,Jacob Leinenkugel Brewing Company,4.20,436,3.38,,https://www.beeradvocate.com/beer/profile/710/129261/
Fruit and Field,New Grist Gluten-Free Pilsner Style Beer,"Lakefront Brewery, Inc.",5.10,418,2.74,,https://www.beeradvocate.com/beer/profile/741/26368/
Fruit and Field,Éphémère (Cassis / Black Currant),Unibroue,5.50,384,3.71,,https://www.beeradvocate.com/beer/profile/22/14733/
Fruit and Field,Hala Kahiki,Rivertowne Brewing,4.80,381,3.47,,https://www.beeradvocate.com/beer/profile/30791/58748/
Fruit and Field,Budweiser & Clamato Chelada,Anheuser-Busch,5.00,355,2,,https://www.beeradvocate.com/beer/profile/29/37389/
Fruit and Field,Liefmans Fruitesse On The Rocks,Brouwerij Liefmans,3.80,347,3.45,,https://www.beeradvocate.com/beer/profile/283/56414/
Fruit and Field,Buckwheat Ale,Rogue Ales,4.80,343,3.7,,https://www.beeradvocate.com/beer/profile/132/1194/
Fruit and Field,Raspberry Hefeweizen,The Schlafly Tap Room,4.10,337,3.36,,https://www.beeradvocate.com/beer/profile/583/4616/
Fruit and Field,Blue Moon Blackberry Tart Ale,Coors Brewing Company (Molson-Coors),5.80,329,3.09,,https://www.beeradvocate.com/beer/profile/306/92402/
Fruit and Field,Cherry Chocolate,O'Fallon Brewery,5.70,324,3.2,,https://www.beeradvocate.com/beer/profile/3268/16638/
Fruit and Field,Pynk,Yards Brewing Co.,5.50,323,3.61,,https://www.beeradvocate.com/beer/profile/450/13745/
Fruit and Field,Raspberry Wheat Ale,Sea Dog Brewing Company,4.50,318,3.03,,https://www.beeradvocate.com/beer/profile/137/3072/
Fruit and Field,Wasatch Apricot Hefeweizen,Utah Brewers Cooperative,4.00,311,3.49,,https://www.beeradvocate.com/beer/profile/28908/5661/
Fruit and Field,Paw Paw Wheat,Jackie O's Pub & Brewery,9.20,311,3.81,,https://www.beeradvocate.com/beer/profile/1432/107710/
Fruit and Field,Apricot,Sea Dog Brewing Company,4.70,292,3.07,,https://www.beeradvocate.com/beer/profile/137/30936/
Fruit and Field,Pêche Mel,Brasserie Dubuisson Frères sprl,8.50,283,3.69,,https://www.beeradvocate.com/beer/profile/604/55186/
Fruit and Field,Lil' Gruesome,Spring House Brewing Company,7.00,279,3.79,,https://www.beeradvocate.com/beer/profile/16589/71026/
Fruit and Field,Peaches & Cream,Short's Brewing Company,8.30,278,3.9,,https://www.beeradvocate.com/beer/profile/9629/37209/
